sentence,nlp
 Is the MS-ISE program STEM certified?,GECSUGEGEChADGEGEMSISEGEGPAGEGEGEGEGEFSRGECSUGEGEFSRGEGEGEGEGEGECSUGEGEGE?
How can I apply to the MS-ISE program?,ChADGEwGEGEGEGEGEGEGEGEGPAGPAGECSUGEGEGEGEGEChADGEGEMSISEGEGPAGEGEGEGEGEFSR?
I am an international student. How do I apply?,GEGEGEFSRGEGEGEGEF1GECSUGEGEGEGEGEGE.GEChADGEwGEGEGEGEGEGEGEGPAGPAGECSU?
What additional documents are needed to apply?,wChADGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEFSRGEGEGECSUGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEGPAGPAGECSU?
 What is the minimum requirement for GRE?,wChADGEGEGEGECSUGEGEChADGEGEFSRGEGEGEFSRGEFSRGEGEGEqGEGEGEGEFSRGEGEGEGECSUGEGEGEGEGEGE?
What is the minimum requirement for IELTS?,wChADGEGEGEGECSUGEGEChADGEGEFSRGEGEGEFSRGEFSRGEGEGEqGEGEGEGEFSRGEGEGEGECSUGEGEGEGEGEGEGECSU?
What is the minimum TOEFL requirement?,wChADGEGEGEGECSUGEGEChADGEGEFSRGEGEGEFSRGEFSRGEGEGEGECSUGEGEGEGEqGEGEGEGEFSRGEGEGE?
Are recommendation letters required?,GEGEGEGEGEGEGEGEFSRFSRGEGEGEGEGEGEGEGEGEGEGEGEGEGEGECSUGEGEGEqGEGEGEGEGE?
Where should I send documents?,wChADGEGEGEGECSUChADGEGEGEGEGEGEGECSUGEGEGEGEGEGEGEGEFSRGEGEGECSU?
How can I get codes for classroom door locks?,ChADGEwGEGEGEGEGEGEGEGEGEGEGEGEGEGEGECSUGECSUGEGEGEGEGEGECSUCSUGEGEGEFSRGEGEGEGEGEGEGEGEGEkCSU?
How do I make a classroom change request?,ChADGEwGEGEGEGEGEGEFSRGEkGEGEGEGEGEGEGECSUCSUGEGEGEFSRGEGEChADGEGEGEGEGEGEGEqGEGECSUGE?
Who do I contact about one-time classroom reservations?,wChADGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEbGEGEGEGEGEGEGE-GEGEFSRGEGEGEGEGECSUCSUGEGEGEFSRGEGEGECSUGEGECSUGEGEGEGEGECSU?
Who do I contact about conference/event room reservations?,wChADGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEbGEGEGEGEGEGEGECSUGEGEGEGEGEGE/GECSUGEGEGEGEGEGEGEFSRGEGEGECSUGEGECSUGEGEGEGEGECSU?
How do I reserve the Engineering Auditorium (ENG 189)?,ChADGEwGEGEGEGEGEGEGEGECSUGEGECSUGEGEGEChADGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEFSRGE(GEGEGEGE189)?
Who do I contact about classroom internet connection?,wChADGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEbGEGEGEGEGEGEGECSUCSUGEGEGEFSRGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEGE?
How can I get support for classroom computers or overhead projectors?,ChADGEwGEGEGEGEGEGEGEGEGEGEGECSUGEGPAGPAGEGEGEGECSUGEGEGEGEGEGECSUCSUGEGEGEFSRGEGEGEFSRGPAGEGEGEGECSUGEGEGEGEGECSUGEGEChADGEGEGEGEGPAGEGEjGEGEGEGEGECSU?
ow do I report a problem with Engineering room heating or air conditioning?,GEwGEGEGEGEGEGEGEGEGPAGEGEGEGEGEGEGPAGEGEbGEGEFSRGEwGEGEChADGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEFSRGEChADGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEGE?
"How do I report an immediate facilities problem (e.g., water leak, backed-up plumbing, electrical problem)?","ChADGEwGEGEGEGEGEGEGEGEGPAGEGEGEGEGEGEGEGEFSRFSRGEGEGEGEGEGEGECSUGEGEGEGEGEGEGEGECSUGEGPAGEGEbGEGEFSRGE(GE.GE.,GEwGEGEGEGEGEGEGEGEk,GEbGEGEkGEGE-GEGPAGEGPAGEGEFSRbGEGEGE,GEGEGEGEGEGEGEGEGEGEGEGEGPAGEGEbGEGEFSR)?"
What is the required GPA to change my major to CMPE and SE?,wChADGEGEGEGECSUGEGEChADGEGEGEGEqGEGEGEGEGEGEGEGPAGEGEGEGEGEGEChADGEGEGEGEGEFSRCSUGEFSRGEjGEGEGEGEGEGEGEFSRGPAGEGEGEGEGEGECSUGE?
Which courses are required for change of major?,wChADGEGEChADGEGEGEGEGECSUGECSUGEGEGEGEGEGEGEqGEGEGEGEGEGECSUGEGEGEGEChADGEGEGEGEGEGECSUGEFSRGEjGEGE?
Could you provide some clarifications in how to use the change of major formulas ?,GEGEGEGEGEGECSUGEGEGEGPAGEGECSUGEGEGEGECSUGEFSRGEGEGEGEGEGEGECSUGEGEGEGEGEGEGECSUGEGEGEGEChADGEwGEGEGEGEGECSUGEGEGEChADGEGEGEChADGEGEGEGEGEGECSUGEFSRGEjGEGEGECSUGEGEFSRGEGEGECSUGE?
What are the other factors used in ranking the students?,wChADGEGEGEGEGEGEGEGEChADGEGEGEGEChADGEGEGECSUGEGEGEGEGECSUGEGECSUGEGEGEGEGEGEGEGEGEkGEGEGEGEGEChADGEGECSUGEGEGEGEGEGECSU?
"I have just being admitted as a freshman or as a transfer student to SJSU but in a different major (including undeclared) , can I request a change of major to SE (or CMPE) right away?","GEGEChADGECSUGEGEjGECSUGEGEbGEGEGEGEGEGEGEFSRGEGEGEGEGEGEGECSUGEGEGECSUGEGECSUChADFSRGEGEGEGEGEGEGECSUGEGEGEGEGEGEGECSUCSUGEGEGECSUGEGEGEGEGEGEGEGEGEGECSUjCSUGEGEbGEGEGEGEGEGEGEGEGEGECSUCSUGEGEGEGEGEGEFSRGEjGEGEGE(GEGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEGE)GE,GEGEGEGEGEGEGEGEGEqGEGECSUGEGEGEGEGEChADGEGEGEGEGEGECSUGEFSRGEjGEGEGEGEGEGECSUGEGE(GEGEGEGEFSRGPAGE)GEGEGEGEChADGEGEGEwGECSU?"
 I am a current SJSU student and I want to change my major to SE (or CMPE) which classes should I take?,GEGEGEFSRGEGEGEGEGEGEGEGEGEGEGECSUjCSUGEGECSUGEGEGEGEGEGEGEGEGEGEGEGEGEwGEGEGEGEGEGEGEGEChADGEGEGEGEGEFSRCSUGEFSRGEjGEGEGEGEGEGECSUGEGE(GEGEGEGEFSRGPAGE)GEwChADGEGEChADGEGEGEGECSUCSUGECSUGECSUChADGEGEGEGEGEGEGEGEGEkGE?
Does the department intervine to assist students in enrolling in the classes needed for change of major?,GEGEGECSUGEGEChADGEGEGEGEGPAGEGEGEFSRGEGEGEGEGEGEGEGEGECSUGEGEGEGEGEGEGEGECSUCSUGECSUGEGECSUGEGEGEGEGEGECSUGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEChADGEGEGEGEGECSUCSUGECSUGEGEGEGEGEGEGEGECSUGEGEGEGEChADGEGEGEGEGEGECSUGEFSRGEjGEGE?
Do I need a study plan to change my major to SE (or CMPE)?,GEGEGEGEGEGEGEGEGEGEGEGECSUGEGEGECSUGEGPAGEGEGEGEGEGEGEGEChADGEGEGEGEGEFSRCSUGEFSRGEjGEGEGEGEGEGECSUGEGE(GEGEGEGEFSRGPAGE)?
"One or more of the required classes  is full at SJSU, can I take it at a community college?","GEGEGEGEGEGEGEFSRGEGEGEGEGECSUGEGEChADGEGEGEGEqGEGEGEGEGEGEGEGEGECSUCSUGECSU GEGECSUGECSUGEGEGEGEGEGEGECSUjCSUGE,GEGEGEGEGEGEGEGEGEkGEGEGEGEGEGEGEGEGEGEGEGEFSRFSRGEGEGEGECSUGEGEGEGEGEGEGEGE?"
When can I apply for change of major and which documents are needed?,wChADGEGEGEGEGEGEGEGEGEGEGPAGPAGECSUGECSUGEGEGEGEChADGEGEGEGEGEGECSUGEFSRGEjGEGEGEGEGEGEGEwChADGEGEChADGEGEGEGEGEFSRGEGEGECSUGEGEGEGEGEGEGEGEGEGEGE?
"I am an international student admitted to a different major, how can I change my major to SE (or CMPE)?","GEGEGEFSRGEGEGEGEF1GECSUGEGEGEGEGEGEGEGEGEFSRGEGEGEGEGEGEGEGEGEGEGEGEGECSUCSUGEGEGEGEGEGEFSRGEjGEGE,GEChADGEwGEGEGEGEGEGEGEGEChADGEGEGEGEGEFSRCSUGEFSRGEjGEGEGEGEGEGECSUGEGE(GEGEGEGEFSRGPAGE)?"
How can I get a list of GE course?,ChADGEwGEGEGEGEGEGEGEGEGEGEGEGEGEGEGECSUGEGEGECSUGEGEGEGEGEGEGEGECSUGE?
"I completed all of my lower division GE and I have passed the WST. I currently have FEWER than 60 units completed and I would like to register for SJSU Studies (Areas R, S, V, & Z) courses requiring upper division standing, but MySJSU says I do not meet the requirements. How do I register for these courses?","GEGEGEGEFSRGPAGEGEGEGEGEGEGEGEGEGEGECSUGEFSRCSUGEGEGEwGEGEGEGEGECSUGECSUGEGEGEGEGEGEGEGEGEGEGEGEGEChADGECSUGEGEGPAGECSUCSUGEGEGEGEChADGEGEwCSUGE.GEGEGEGEGEGEGEGEGEGEGECSUGEChADGECSUGEGECSUGEwGEGEGEGEChADGEGEGE60GEGEGEGEGECSUGEGEGEFSRGPAGEGEGEGEGEGEGEGEGEGEGEGEwGEGEGEGEGEGEGEkGEGEGEGEGEGEGEGEGECSUGEGEGEGECSUGEGEGECSUjCSUGEGECSUGEGEGEGEGECSUGE(GEGEGEGECSUGEGE,GECSU,GECSU,GE&GEz)GEGEGEGEGECSUGECSUGEGEGEqGEGEGEGEGEGEGEGEGPAGPAGEGEGEGEGECSUGECSUGEGEGEGECSUGEGEGEGEGEGEGE,GEbGEGEGEFSRCSUCSUjCSUGEGECSUGECSUCSUGEGEGEGEGEGEGEGEGEGEFSRGEGEGEGEGEChADGEGEGEGEqGEGEGEGEFSRGEGEGECSU.GEChADGEwGEGEGEGEGEGEGEGEGEGECSUGEGEGEGECSUGEGEGEGEChADGECSUGEGEGEGEGEGECSUGECSU?"
What are SJSU Studies courses?,wChADGEGEGEGEGEGEGECSUjCSUGEGECSUGEGEGEGEGECSUGEGEGEGEGECSUGECSU?
Can you waived the 100W course? ,GEGEGEGECSUGEGEGEwGEGECSUGEGEGEGEChADGEGE100wGEGEGEGEGECSUGE?
How can I find out if the course I took at another college transfers to SJSU?,ChADGEwGEGEGEGEGEGEGECSUGEGEGEGEGEGEGEGEGECSUGEGEChADGEGEGEGEGEGECSUGEGEGEGEGEGEGEkGEGEGEGEGEGEGEGEChADGEGEGEGEGEGEGEGEGEGEGEGEGEGEGECSUCSUGEGECSUGEGEGEGECSUjCSUGE?
"I took a lower division (LD) GE course at a Community College or 4 year school and it did not transfer to SJSU as GE, but I would like to petition the course for LD GE credit, what form would I use? ","GEGEGEGEGEkGEGEGEGEGEwGEGEGEGEGECSUGECSUGEGEGEGE(GEGE)GEGEGEGEGEGEGEGECSUGEGEGEGEGEGEGEGEGEFSRFSRGEGEGEGECSUGEGEGEGEGEGEGEGEGEGEGEGE4GECSUGEGEGEGECSUGEChADGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEGECSUCSUGEGEGEGEGEGECSUjCSUGEGEGECSUGEGEGE,GEbGEGEGEGEGEwGEGEGEGEGEGEGEkGEGEGEGEGEGPAGEGEGEGEGEGEGEGEGEChADGEGEGEGEGEGECSUGEGECSUGEGEGEGEGEGEGEGEGEGEGEGEGEGEGE,GEwChADGEGEGECSUGEGEFSRGEwGEGEGEGEGEGEGEGECSUGE?"
"I took an American Institutions (US 1, US 2, US3) course at another college, but the course did not articulate, what form should I use? ","GEGEGEGEGEkGEGEGEGEUSGEGEGEGECSUGEGEGEGEGEGEGEGECSUGE(GECSUGE1,GEGECSUGE2,GEGECSU3)GEGEGEGEGECSUGEGEGEGEGEGEGEGEGEChADGEGEGEGEGEGEGEGEGEGE,GEbGEGEGEGEChADGEGEGEGEGEGECSUGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEGE,GEwChADGEGEGECSUGEGEFSRGECSUChADGEGEGEGEGEGEGEGECSUGE?"
"I took an upper division GE course at another CSU, but the course did not articulate when I transferred, what form should I use?","GEGEGEGEGEkGEGEGEGEGEGPAGPAGEGEGEGEGECSUGECSUGEGEGEGEGEGEGEGEGEGEGECSUGEGEGEGEGEGEGEGEGEChADGEGEGEGECSUGE,GEbGEGEGEGEChADGEGEGEGEGEGECSUGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEGEwChADGEGEGEGEGEGEGEGEGECSUCSUGEGEGEGEGE,GEwChADGEGEGECSUGEGEFSRGECSUChADGEGEGEGEGEGEGEGECSUGE?"
Can I take courses at another college while attending SJSU? ,GEGEGEGEGEGEGEGEkGEGEGEGEGEGECSUGECSUGEGEGEGEGEGEGEGEChADGEGEGEGEGEGEGEGEGEGEGEwChADGEGEGEGEGEGEGEGEGEGEGEGEGEGECSUjCSUGE?
How do I transfer credits from another institution to SJSU? ,ChADGEwGEGEGEGEGEGEGEGEGEGECSUCSUGEGEGEGEGEGEGEGEGECSUGECSUGEGEFSRGEGEGEGEGEChADGEGEGEGEGECSUGEGEGEGEGEGEGEGEGEGEGEGECSUjCSUGE?
I failed a course at SJSU can I retake it at a Community College?,GEGECSUGEGEGEGEGEGEGEGEGEGEGEGECSUGEGEGEGEGECSUjCSUGEGEGEGEGEGEGEGEGEGEGEGEkGEGEGEGEGEGEGEGEGEGEGEGEFSRFSRGEGEGEGECSUGEGEGEGEGEGEGEGE?
Do I have to take the Writing Skills Test? ,GEGEGEGEGEChADGECSUGEGEGEGEGEGEGEkGEGEGEChADGEGEwGEGEGEGEGEGEGECSUkGEGEGECSUGEGEGECSUGE?
What happens to me if I do not pass the WST? ,wChADGEGEGEChADGEGPAGPAGEGECSUGEGEGEGEFSRGEGEGECSUGEGEGEGEGEGEGEGEGEGEGPAGECSUCSUGEGEChADGEGEwCSUGE?
When should I take the WST?,wChADGEGEGECSUChADGEGEGEGEGEGEGEGEGEkGEGEGEChADGEGEwCSUGE?
Do I have to be Reinstated to the major I was disqualified from?,GEGEGEGEGEChADGECSUGEGEGEGEGEbGEGEGEGEGEGECSUGEGEGEGEGEGEGEGEGEGEChADGEGEFSRGEjGEGEGEGEGEwGECSUGEGEGECSUqGEGEGEGECSUGEGEGEGECSUGEGEFSR?
Do I need to complete a Reinstatement petition even though I was not disqualified from SJSU?,GEGEGEGEGEGEGEGEGEGEGEGEGEGEGEFSRGPAGEGEGEGEGEGEGEGEGEGEGECSUGEGEGEGEFSRGEGEGEGEGPAGEGEGEGEGEGEGEGEGECSUGEGEGEGEChADGEGEGEChADGEGEGEwGECSUGEGEGEGEGEGEGECSUqGEGEGEGECSUGEGEGEGECSUGEGEFSRGECSUjCSUGE?
"I completed my Reinstatement petition, is there any other form I need to complete? ","GEGEGEGEFSRGPAGEGEGEGEGEGEFSRCSUGEGEGEGEGECSUGEGEGEGEFSRGEGEGEGEGPAGEGEGEGEGEGEGE,GEGECSUGEGEChADGEGEGEGEGEGECSUGEGEGEChADGEGEGECSUGEGEFSRGEGEGEGEGEGEGEGEGEGEGEGEGEFSRGPAGEGEGEGE?"
When do I have to reapply to SJSU? ,wChADGEGEGEGEGEGEGEGEChADGECSUGEGEGEGEGEGEGEGEGPAGPAGECSUGEGEGEGECSUjCSUGE?
"My Reinstatement and FSR form were approved, I have over 60 unit but I have not completed my basic four skills (Area A1, A2, A3, & B4) requirement. Can I apply for admissions through CAL STATE APPLY? ","FSRCSUGEGEGEGEGECSUGEGEGEGEFSRGEGEGEGEGEGEGEGECSUCSUGEGECSUGEGEFSRGEwGEGEGEGEGEGPAGPAGEGECSUGEGE,GEGEGEChADGECSUGEGEGECSUGEGEGE60GEGEGEGEGEGEbGEGEGEGEGEChADGECSUGEGEGEGEGEGEGEGEFSRGPAGEGEGEGEGEGEFSRCSUGEbGECSUGEGEGECSUGEGEGEGECSUkGEGEGECSUGE(GEGEGEGEGEGE1,GEGE2,GEGE3,GE&GEb4)GEGEGEqGEGEGEGEFSRGEGEGE.GEGEGEGEGEGEGEGEGPAGPAGECSUGECSUGEGEGEGEGEFSRGECSUCSUGEGEGECSUGEGEChADGEGEGEGEChADGEGEGEGEGECSUGEGEGEGEGEGEGPAGPAGECSU?"
What GPA determines my Academic Standing?,wChADGEGEGEGEGPAGEGEGEGEGEGEGEFSRGEGEGECSU FSRCSUGEGEGEGEGEGEFSRGEGEGECSUGEGEGEGEGEGEGE?
I walked does that mean I graduated?,GEGEwGEGEkGEGEGEGEGEGECSUGEGEChADGEGEGEFSRGEGEGEGEGEGEGEGEGEGEGEGEGEGEGE?
